Week_Index,Partner,SKU,Category,Planned_Units,Planned_Revenue,Planned_GM_Dollars
4,NuOrder_Direct,SKU00161,Graphic Tees,11,220.33,125.07
4,NuOrder_Direct,SKU00203,Women's Denim,8,370.96,218.4
4,NuOrder_Direct,SKU00218,Accessories,2,54.34,34.14
4,NuOrder_Direct,SKU00245,Men's Denim,3,183.09,87.27
4,NuOrder_Direct,SKU00272,Loungewear,6,168.78,95.88
4,NuOrder_Direct,SKU00273,Loungewear,1,28.16,16.1
4,NuOrder_Direct,SKU00280,Accessories,3,54.24,33.09
4,NuOrder_Direct,SKU00343,Women's Denim,2,83.9,44.06
4,NuOrder_Direct,SKU00345,Graphic Tees,2,44.9,27.74
4,NuOrder_Direct,SKU00358,Outerwear,3,331.95,151.17
4,NuOrder_Direct,SKU00360,Outerwear,2,254.08,123.7
4,NuOrder_Direct,SKU00363,Tops & Blouses,2,75.62,44.12
4,NuOrder_Direct,SKU00378,Men's Denim,2,102.24,49.72
4,NuOrder_Direct,SKU00393,Graphic Tees,5,103.4,60.1
4,NuOrder_Direct,SKU00417,Aerie Intimates,2,40.84,23.74
4,NuOrder_Direct,SKU00460,Men's Denim,1,59.31,31.79
4,NuOrder_Direct,SKU00470,Seasonal Capsule,7,655.13,339.78
4,NuOrder_Direct,SKU00486,Seasonal Capsule,1,66.6,35.18
4,NuOrder_Direct,SKU00513,Seasonal Capsule,2,191.94,101.02
4,NuOrder_Direct,SKU00556,Graphic Tees,4,53.4,32.4
4,NuOrder_Direct,SKU00567,Graphic Tees,6,179.4,113.34
5,NuOrder_Direct,SKU00039,Activewear,1,27.12,13.82
5,NuOrder_Direct,SKU00042,Tops & Blouses,1,49.81,26.12
5,NuOrder_Direct,SKU00064,Graphic Tees,1,18.21,10.34
5,NuOrder_Direct,SKU00087,Accessories,5,111.2,71.05
5,NuOrder_Direct,SKU00130,Tops & Blouses,2,41.36,23.96
5,NuOrder_Direct,SKU00161,Graphic Tees,12,240.36,136.44
5,NuOrder_Direct,SKU00203,Women's Denim,9,417.33,245.7
5,NuOrder_Direct,SKU00218,Accessories,2,54.34,34.14
5,NuOrder_Direct,SKU00245,Men's Denim,2,122.06,58.18
5,NuOrder_Direct,SKU00272,Loungewear,7,196.91,111.86
5,NuOrder_Direct,SKU00273,Loungewear,1,28.16,16.1
5,NuOrder_Direct,SKU00280,Accessories,2,36.16,22.06
5,NuOrder_Direct,SKU00308,Aerie Intimates,5,167.15,103.45
5,NuOrder_Direct,SKU00313,Men's Denim,1,74.79,41.01
5,NuOrder_Direct,SKU00343,Women's Denim,2,83.9,44.06
5,NuOrder_Direct,SKU00345,Graphic Tees,2,44.9,27.74
5,NuOrder_Direct,SKU00358,Outerwear,3,331.95,151.17
5,NuOrder_Direct,SKU00360,Outerwear,3,381.12,185.55
5,NuOrder_Direct,SKU00363,Tops & Blouses,2,75.62,44.12
5,NuOrder_Direct,SKU00378,Men's Denim,2,102.24,49.72
5,NuOrder_Direct,SKU00393,Graphic Tees,6,124.08,72.12
5,NuOrder_Direct,SKU00417,Aerie Intimates,1,20.42,11.87
5,NuOrder_Direct,SKU00460,Men's Denim,1,59.31,31.79
5,NuOrder_Direct,SKU00470,Seasonal Capsule,6,561.54,291.24
5,NuOrder_Direct,SKU00486,Seasonal Capsule,1,66.6,35.18
5,NuOrder_Direct,SKU00513,Seasonal Capsule,2,191.94,101.02
5,NuOrder_Direct,SKU00556,Graphic Tees,4,53.4,32.4
5,NuOrder_Direct,SKU00567,Graphic Tees,7,209.3,132.23
5,NuOrder_Direct,SKU00594,Graphic Tees,9,136.89,80.28
6,NuOrder_Direct,SKU00027,Women's Denim,3,188.79,96.51
6,NuOrder_Direct,SKU00039,Activewear,1,27.12,13.82
6,NuOrder_Direct,SKU00042,Tops & Blouses,1,49.81,26.12
6,NuOrder_Direct,SKU00064,Graphic Tees,1,18.21,10.34
6,NuOrder_Direct,SKU00087,Accessories,6,133.44,85.26
6,NuOrder_Direct,SKU00130,Tops & Blouses,2,41.36,23.96
6,NuOrder_Direct,SKU00161,Graphic Tees,11,220.33,125.07
6,NuOrder_Direct,SKU00203,Women's Denim,9,417.33,245.7
6,NuOrder_Direct,SKU00218,Accessories,2,54.34,34.14
6,NuOrder_Direct,SKU00245,Men's Denim,3,183.09,87.27
6,NuOrder_Direct,SKU00272,Loungewear,6,168.78,95.88
6,NuOrder_Direct,SKU00273,Loungewear,1,28.16,16.1
6,NuOrder_Direct,SKU00280,Accessories,2,36.16,22.06
6,NuOrder_Direct,SKU00308,Aerie Intimates,5,167.15,103.45
6,NuOrder_Direct,SKU00313,Men's Denim,1,74.79,41.01
6,NuOrder_Direct,SKU00321,Outerwear,4,286.08,151.56
6,NuOrder_Direct,SKU00343,Women's Denim,2,83.9,44.06
6,NuOrder_Direct,SKU00345,Graphic Tees,2,44.9,27.74
6,NuOrder_Direct,SKU00358,Outerwear,3,331.95,151.17
6,NuOrder_Direct,SKU00360,Outerwear,2,254.08,123.7
6,NuOrder_Direct,SKU00363,Tops & Blouses,2,75.62,44.12
6,NuOrder_Direct,SKU00378,Men's Denim,2,102.24,49.72
6,NuOrder_Direct,SKU00393,Graphic Tees,5,103.4,60.1
6,NuOrder_Direct,SKU00417,Aerie Intimates,2,40.84,23.74
6,NuOrder_Direct,SKU00460,Men's Denim,1,59.31,31.79
6,NuOrder_Direct,SKU00470,Seasonal Capsule,6,561.54,291.24
6,NuOrder_Direct,SKU00486,Seasonal Capsule,1,66.6,35.18
6,NuOrder_Direct,SKU00495,Tops & Blouses,5,104.65,58.85
6,NuOrder_Direct,SKU00512,Graphic Tees,12,337.68,197.28
6,NuOrder_Direct,SKU00513,Seasonal Capsule,2,191.94,101.02
6,NuOrder_Direct,SKU00556,Graphic Tees,4,53.4,32.4
6,NuOrder_Direct,SKU00567,Graphic Tees,7,209.3,132.23
6,NuOrder_Direct,SKU00594,Graphic Tees,8,121.68,71.36
7,NuOrder_Direct,SKU00027,Women's Denim,2,125.86,64.34
7,NuOrder_Direct,SKU00039,Activewear,1,27.12,13.82
7,NuOrder_Direct,SKU00042,Tops & Blouses,1,49.81,26.12
7,NuOrder_Direct,SKU00064,Graphic Tees,1,18.21,10.34
7,NuOrder_Direct,SKU00087,Accessories,6,133.44,85.26
7,NuOrder_Direct,SKU00130,Tops & Blouses,2,41.36,23.96
7,NuOrder_Direct,SKU00161,Graphic Tees,13,260.39,147.81
7,NuOrder_Direct,SKU00164,Tops & Blouses,2,42.06,24.0
7,NuOrder_Direct,SKU00203,Women's Denim,8,370.96,218.4
7,NuOrder_Direct,SKU00214,Women's Denim,4,279.0,163.36
7,NuOrder_Direct,SKU00218,Accessories,2,54.34,34.14
7,NuOrder_Direct,SKU00245,Men's Denim,3,183.09,87.27
7,NuOrder_Direct,SKU00272,Loungewear,6,168.78,95.88
7,NuOrder_Direct,SKU00273,Loungewear,1,28.16,16.1
7,NuOrder_Direct,SKU00280,Accessories,3,54.24,33.09
7,NuOrder_Direct,SKU00284,Men's Denim,4,205.84,104.4
7,NuOrder_Direct,SKU00305,Accessories,1,27.92,18.14
7,NuOrder_Direct,SKU00308,Aerie Intimates,6,200.58,124.14
7,NuOrder_Direct,SKU00313,Men's Denim,2,149.58,82.02
7,NuOrder_Direct,SKU00321,Outerwear,3,214.56,113.67
7,NuOrder_Direct,SKU00343,Women's Denim,2,83.9,44.06
7,NuOrder_Direct,SKU00345,Graphic Tees,3,67.35,41.61
7,NuOrder_Direct,SKU00358,Outerwear,3,331.95,151.17
7,NuOrder_Direct,SKU00360,Outerwear,2,254.08,123.7
7,NuOrder_Direct,SKU00363,Tops & Blouses,2,75.62,44.12
7,NuOrder_Direct,SKU00378,Men's Denim,2,102.24,49.72
7,NuOrder_Direct,SKU00393,Graphic Tees,6,124.08,72.12
7,NuOrder_Direct,SKU00417,Aerie Intimates,2,40.84,23.74
7,NuOrder_Direct,SKU00460,Men's Denim,1,59.31,31.79
7,NuOrder_Direct,SKU00470,Seasonal Capsule,6,561.54,291.24
7,NuOrder_Direct,SKU00486,Seasonal Capsule,1,66.6,35.18
7,NuOrder_Direct,SKU00495,Tops & Blouses,6,125.58,70.62
7,NuOrder_Direct,SKU00497,Outerwear,4,397.2,182.12
7,NuOrder_Direct,SKU00512,Graphic Tees,14,393.96,230.16
7,NuOrder_Direct,SKU00513,Seasonal Capsule,2,191.94,101.02
7,NuOrder_Direct,SKU00556,Graphic Tees,4,53.4,32.4
7,NuOrder_Direct,SKU00567,Graphic Tees,7,209.3,132.23
7,NuOrder_Direct,SKU00594,Graphic Tees,9,136.89,80.28
8,NuOrder_Direct,SKU00027,Women's Denim,3,188.79,96.51
8,NuOrder_Direct,SKU00039,Activewear,1,27.12,13.82
8,NuOrder_Direct,SKU00042,Tops & Blouses,1,49.81,26.12
8,NuOrder_Direct,SKU00064,Graphic Tees,1,18.21,10.34
8,NuOrder_Direct,SKU00087,Accessories,6,133.44,85.26
8,NuOrder_Direct,SKU00130,Tops & Blouses,2,41.36,23.96
8,NuOrder_Direct,SKU00161,Graphic Tees,13,260.39,147.81
8,NuOrder_Direct,SKU00164,Tops & Blouses,1,21.03,12.0
8,NuOrder_Direct,SKU00203,Women's Denim,8,370.96,218.4
8,NuOrder_Direct,SKU00214,Women's Denim,4,279.0,163.36
8,NuOrder_Direct,SKU00218,Accessories,2,54.34,34.14
8,NuOrder_Direct,SKU00245,Men's Denim,3,183.09,87.27
8,NuOrder_Direct,SKU00272,Loungewear,7,196.91,111.86
8,NuOrder_Direct,SKU00273,Loungewear,1,28.16,16.1
8,NuOrder_Direct,SKU00280,Accessories,2,36.16,22.06
8,NuOrder_Direct,SKU00284,Men's Denim,4,205.84,104.4
8,NuOrder_Direct,SKU00305,Accessories,1,27.92,18.14
8,NuOrder_Direct,SKU00308,Aerie Intimates,5,167.15,103.45
8,NuOrder_Direct,SKU00313,Men's Denim,1,74.79,41.01
8,NuOrder_Direct,SKU00321,Outerwear,4,286.08,151.56
8,NuOrder_Direct,SKU00343,Women's Denim,2,83.9,44.06
8,NuOrder_Direct,SKU00345,Graphic Tees,2,44.9,27.74
8,NuOrder_Direct,SKU00358,Outerwear,3,331.95,151.17
8,NuOrder_Direct,SKU00360,Outerwear,2,254.08,123.7
8,NuOrder_Direct,SKU00363,Tops & Blouses,2,75.62,44.12
8,NuOrder_Direct,SKU00378,Men's Denim,2,102.24,49.72
8,NuOrder_Direct,SKU00393,Graphic Tees,6,124.08,72.12
8,NuOrder_Direct,SKU00417,Aerie Intimates,2,40.84,23.74
8,NuOrder_Direct,SKU00460,Men's Denim,1,59.31,31.79
8,NuOrder_Direct,SKU00470,Seasonal Capsule,6,561.54,291.24
8,NuOrder_Direct,SKU00486,Seasonal Capsule,1,66.6,35.18
8,NuOrder_Direct,SKU00488,Aerie Intimates,1,31.36,18.26
8,NuOrder_Direct,SKU00495,Tops & Blouses,5,104.65,58.85
8,NuOrder_Direct,SKU00497,Outerwear,4,397.2,182.12
8,NuOrder_Direct,SKU00512,Graphic Tees,14,393.96,230.16
8,NuOrder_Direct,SKU00513,Seasonal Capsule,2,191.94,101.02
8,NuOrder_Direct,SKU00556,Graphic Tees,4,53.4,32.4
8,NuOrder_Direct,SKU00567,Graphic Tees,7,209.3,132.23
8,NuOrder_Direct,SKU00594,Graphic Tees,9,136.89,80.28
9,NuOrder_Direct,SKU00027,Women's Denim,3,188.79,96.51
9,NuOrder_Direct,SKU00039,Activewear,1,27.12,13.82
9,NuOrder_Direct,SKU00042,Tops & Blouses,1,49.81,26.12
9,NuOrder_Direct,SKU00043,Men's Denim,2,115.04,63.04
9,NuOrder_Direct,SKU00064,Graphic Tees,1,18.21,10.34
9,NuOrder_Direct,SKU00087,Accessories,6,133.44,85.26
9,NuOrder_Direct,SKU00128,Loungewear,7,335.65,204.61
9,NuOrder_Direct,SKU00130,Tops & Blouses,2,41.36,23.96
9,NuOrder_Direct,SKU00161,Graphic Tees,13,260.39,147.81
9,NuOrder_Direct,SKU00164,Tops & Blouses,2,42.06,24.0
9,NuOrder_Direct,SKU00203,Women's Denim,8,370.96,218.4
9,NuOrder_Direct,SKU00214,Women's Denim,4,279.0,163.36
9,NuOrder_Direct,SKU00218,Accessories,2,54.34,34.14
9,NuOrder_Direct,SKU00245,Men's Denim,3,183.09,87.27
9,NuOrder_Direct,SKU00272,Loungewear,7,196.91,111.86
9,NuOrder_Direct,SKU00273,Loungewear,1,28.16,16.1
9,NuOrder_Direct,SKU00280,Accessories,2,36.16,22.06
9,NuOrder_Direct,SKU00284,Men's Denim,4,205.84,104.4
9,NuOrder_Direct,SKU00289,Aerie Intimates,4,94.52,57.12
9,NuOrder_Direct,SKU00305,Accessories,1,27.92,18.14
9,NuOrder_Direct,SKU00308,Aerie Intimates,5,167.15,103.45
9,NuOrder_Direct,SKU00313,Men's Denim,2,149.58,82.02
9,NuOrder_Direct,SKU00315,Loungewear,2,115.18,61.32
9,NuOrder_Direct,SKU00321,Outerwear,3,214.56,113.67
9,NuOrder_Direct,SKU00324,Aerie Intimates,22,608.08,347.6
9,NuOrder_Direct,SKU00343,Women's Denim,2,83.9,44.06
9,NuOrder_Direct,SKU00345,Graphic Tees,3,67.35,41.61
9,NuOrder_Direct,SKU00352,Loungewear,5,141.2,77.45
9,NuOrder_Direct,SKU00358,Outerwear,3,331.95,151.17
9,NuOrder_Direct,SKU00360,Outerwear,2,254.08,123.7
9,NuOrder_Direct,SKU00363,Tops & Blouses,2,75.62,44.12
9,NuOrder_Direct,SKU00378,Men's Denim,2,102.24,49.72
9,NuOrder_Direct,SKU00393,Graphic Tees,6,124.08,72.12
9,NuOrder_Direct,SKU00417,Aerie Intimates,2,40.84,23.74
9,NuOrder_Direct,SKU00460,Men's Denim,1,59.31,31.79
9,NuOrder_Direct,SKU00470,Seasonal Capsule,7,655.13,339.78
9,NuOrder_Direct,SKU00486,Seasonal Capsule,1,66.6,35.18
9,NuOrder_Direct,SKU00488,Aerie Intimates,1,31.36,18.26
9,NuOrder_Direct,SKU00495,Tops & Blouses,5,104.65,58.85
9,NuOrder_Direct,SKU00497,Outerwear,3,297.9,136.59
9,NuOrder_Direct,SKU00512,Graphic Tees,14,393.96,230.16
9,NuOrder_Direct,SKU00513,Seasonal Capsule,2,191.94,101.02
9,NuOrder_Direct,SKU00556,Graphic Tees,4,53.4,32.4
9,NuOrder_Direct,SKU00567,Graphic Tees,7,209.3,132.23
9,NuOrder_Direct,SKU00594,Graphic Tees,9,136.89,80.28
9,NuOrder_Direct,SKU00595,Loungewear,4,172.36,94.92
10,NuOrder_Direct,SKU00027,Women's Denim,3,188.79,96.51
10,NuOrder_Direct,SKU00039,Activewear,1,27.12,13.82
10,NuOrder_Direct,SKU00042,Tops & Blouses,1,49.81,26.12
10,NuOrder_Direct,SKU00043,Men's Denim,1,57.52,31.52
10,NuOrder_Direct,SKU00064,Graphic Tees,1,18.21,10.34
10,NuOrder_Direct,SKU00087,Accessories,5,111.2,71.05
10,NuOrder_Direct,SKU00128,Loungewear,6,287.7,175.38
10,NuOrder_Direct,SKU00130,Tops & Blouses,2,41.36,23.96
10,NuOrder_Direct,SKU00140,Seasonal Capsule,1,92.16,46.05
10,NuOrder_Direct,SKU00161,Graphic Tees,12,240.36,136.44
10,NuOrder_Direct,SKU00164,Tops & Blouses,2,42.06,24.0
10,NuOrder_Direct,SKU00187,Loungewear,3,134.22,71.19
10,NuOrder_Direct,SKU00203,Women's Denim,8,370.96,218.4
10,NuOrder_Direct,SKU00214,Women's Denim,4,279.0,163.36
10,NuOrder_Direct,SKU00218,Accessories,2,54.34,34.14
10,NuOrder_Direct,SKU00245,Men's Denim,3,183.09,87.27
10,NuOrder_Direct,SKU00272,Loungewear,6,168.78,95.88
10,NuOrder_Direct,SKU00273,Loungewear,1,28.16,16.1
10,NuOrder_Direct,SKU00280,Accessories,2,36.16,22.06
10,NuOrder_Direct,SKU00284,Men's Denim,4,205.84,104.4
10,NuOrder_Direct,SKU00289,Aerie Intimates,4,94.52,57.12
10,NuOrder_Direct,SKU00305,Accessories,1,27.92,18.14
10,NuOrder_Direct,SKU00308,Aerie Intimates,5,167.15,103.45
10,NuOrder_Direct,SKU00313,Men's Denim,1,74.79,41.01
10,NuOrder_Direct,SKU00315,Loungewear,2,115.18,61.32
10,NuOrder_Direct,SKU00321,Outerwear,4,286.08,151.56
10,NuOrder_Direct,SKU00323,Activewear,4,103.24,60.24
10,NuOrder_Direct,SKU00324,Aerie Intimates,21,580.44,331.8
10,NuOrder_Direct,SKU00343,Women's Denim,2,83.9,44.06
10,NuOrder_Direct,SKU00345,Graphic Tees,2,44.9,27.74
10,NuOrder_Direct,SKU00352,Loungewear,5,141.2,77.45
10,NuOrder_Direct,SKU00358,Outerwear,3,331.95,151.17
10,NuOrder_Direct,SKU00360,Outerwear,3,381.12,185.55
10,NuOrder_Direct,SKU00363,Tops & Blouses,2,75.62,44.12
10,NuOrder_Direct,SKU00378,Men's Denim,2,102.24,49.72
10,NuOrder_Direct,SKU00393,Graphic Tees,6,124.08,72.12
10,NuOrder_Direct,SKU00415,Activewear,5,305.6,179.15
10,NuOrder_Direct,SKU00417,Aerie Intimates,2,40.84,23.74
10,NuOrder_Direct,SKU00460,Men's Denim,1,59.31,31.79
10,NuOrder_Direct,SKU00470,Seasonal Capsule,6,561.54,291.24
10,NuOrder_Direct,SKU00488,Aerie Intimates,1,31.36,18.26
10,NuOrder_Direct,SKU00495,Tops & Blouses,6,125.58,70.62
10,NuOrder_Direct,SKU00497,Outerwear,4,397.2,182.12
10,NuOrder_Direct,SKU00512,Graphic Tees,12,337.68,197.28
10,NuOrder_Direct,SKU00513,Seasonal Capsule,2,191.94,101.02
10,NuOrder_Direct,SKU00515,Men's Denim,3,193.41,100.29
10,NuOrder_Direct,SKU00556,Graphic Tees,4,53.4,32.4
10,NuOrder_Direct,SKU00567,Graphic Tees,7,209.3,132.23
10,NuOrder_Direct,SKU00594,Graphic Tees,8,121.68,71.36
10,NuOrder_Direct,SKU00595,Loungewear,4,172.36,94.92
11,NuOrder_Direct,SKU00027,Women's Denim,2,125.86,64.34
11,NuOrder_Direct,SKU00039,Activewear,1,27.12,13.82
11,NuOrder_Direct,SKU00041,Women's Denim,9,574.11,336.69
11,NuOrder_Direct,SKU00042,Tops & Blouses,1,49.81,26.12
11,NuOrder_Direct,SKU00043,Men's Denim,2,115.04,63.04
11,NuOrder_Direct,SKU00064,Graphic Tees,1,18.21,10.34
11,NuOrder_Direct,SKU00087,Accessories,6,133.44,85.26
11,NuOrder_Direct,SKU00112,Women's Denim,8,460.88,254.64
11,NuOrder_Direct,SKU00128,Loungewear,7,335.65,204.61
11,NuOrder_Direct,SKU00130,Tops & Blouses,2,41.36,23.96
11,NuOrder_Direct,SKU00140,Seasonal Capsule,1,92.16,46.05
11,NuOrder_Direct,SKU00149,Men's Denim,3,234.48,131.7
11,NuOrder_Direct,SKU00161,Graphic Tees,13,260.39,147.81
11,NuOrder_Direct,SKU00164,Tops & Blouses,2,42.06,24.0
11,NuOrder_Direct,SKU00187,Loungewear,3,134.22,71.19
11,NuOrder_Direct,SKU00203,Women's Denim,7,324.59,191.1
11,NuOrder_Direct,SKU00214,Women's Denim,4,279.0,163.36
11,NuOrder_Direct,SKU00218,Accessories,2,54.34,34.14
11,NuOrder_Direct,SKU00245,Men's Denim,3,183.09,87.27
11,NuOrder_Direct,SKU00272,Loungewear,7,196.91,111.86
11,NuOrder_Direct,SKU00273,Loungewear,1,28.16,16.1
11,NuOrder_Direct,SKU00280,Accessories,2,36.16,22.06
11,NuOrder_Direct,SKU00284,Men's Denim,4,205.84,104.4
11,NuOrder_Direct,SKU00289,Aerie Intimates,5,118.15,71.4
11,NuOrder_Direct,SKU00295,Women's Denim,1,52.69,29.95
11,NuOrder_Direct,SKU00304,Activewear,5,139.15,72.0
11,NuOrder_Direct,SKU00305,Accessories,1,27.92,18.14
11,NuOrder_Direct,SKU00308,Aerie Intimates,6,200.58,124.14
11,NuOrder_Direct,SKU00313,Men's Denim,2,149.58,82.02
11,NuOrder_Direct,SKU00315,Loungewear,2,115.18,61.32
11,NuOrder_Direct,SKU00321,Outerwear,3,214.56,113.67
11,NuOrder_Direct,SKU00323,Activewear,4,103.24,60.24
11,NuOrder_Direct,SKU00324,Aerie Intimates,23,635.72,363.4
11,NuOrder_Direct,SKU00343,Women's Denim,1,41.95,22.03
11,NuOrder_Direct,SKU00345,Graphic Tees,2,44.9,27.74
11,NuOrder_Direct,SKU00352,Loungewear,5,141.2,77.45
11,NuOrder_Direct,SKU00358,Outerwear,3,331.95,151.17
11,NuOrder_Direct,SKU00360,Outerwear,2,254.08,123.7
11,NuOrder_Direct,SKU00363,Tops & Blouses,2,75.62,44.12
11,NuOrder_Direct,SKU00378,Men's Denim,2,102.24,49.72
11,NuOrder_Direct,SKU00393,Graphic Tees,6,124.08,72.12
11,NuOrder_Direct,SKU00415,Activewear,5,305.6,179.15
11,NuOrder_Direct,SKU00417,Aerie Intimates,2,40.84,23.74
11,NuOrder_Direct,SKU00460,Men's Denim,1,59.31,31.79
11,NuOrder_Direct,SKU00470,Seasonal Capsule,6,561.54,291.24
11,NuOrder_Direct,SKU00486,Seasonal Capsule,1,66.6,35.18
11,NuOrder_Direct,SKU00488,Aerie Intimates,1,31.36,18.26
11,NuOrder_Direct,SKU00495,Tops & Blouses,6,125.58,70.62
11,NuOrder_Direct,SKU00497,Outerwear,4,397.2,182.12
11,NuOrder_Direct,SKU00512,Graphic Tees,14,393.96,230.16
11,NuOrder_Direct,SKU00513,Seasonal Capsule,2,191.94,101.02
11,NuOrder_Direct,SKU00515,Men's Denim,3,193.41,100.29
11,NuOrder_Direct,SKU00516,Men's Denim,1,67.14,36.09
11,NuOrder_Direct,SKU00519,Seasonal Capsule,1,96.22,49.07
11,NuOrder_Direct,SKU00556,Graphic Tees,4,53.4,32.4
11,NuOrder_Direct,SKU00567,Graphic Tees,7,209.3,132.23
11,NuOrder_Direct,SKU00594,Graphic Tees,9,136.89,80.28
11,NuOrder_Direct,SKU00595,Loungewear,4,172.36,94.92
12,NuOrder_Direct,SKU00027,Women's Denim,3,188.79,96.51
12,NuOrder_Direct,SKU00039,Activewear,1,27.12,13.82
12,NuOrder_Direct,SKU00041,Women's Denim,10,637.9,374.1
12,NuOrder_Direct,SKU00042,Tops & Blouses,1,49.81,26.12
12,NuOrder_Direct,SKU00043,Men's Denim,1,57.52,31.52
12,NuOrder_Direct,SKU00049,Outerwear,1,95.82,49.79
12,NuOrder_Direct,SKU00062,Aerie Intimates,4,73.0,43.16
12,NuOrder_Direct,SKU00064,Graphic Tees,1,18.21,10.34
12,NuOrder_Direct,SKU00087,Accessories,5,111.2,71.05
12,NuOrder_Direct,SKU00112,Women's Denim,9,518.49,286.47
12,NuOrder_Direct,SKU00128,Loungewear,7,335.65,204.61
12,NuOrder_Direct,SKU00130,Tops & Blouses,2,41.36,23.96
12,NuOrder_Direct,SKU00140,Seasonal Capsule,1,92.16,46.05
12,NuOrder_Direct,SKU00149,Men's Denim,3,234.48,131.7
12,NuOrder_Direct,SKU00161,Graphic Tees,12,240.36,136.44
12,NuOrder_Direct,SKU00164,Tops & Blouses,2,42.06,24.0
12,NuOrder_Direct,SKU00187,Loungewear,3,134.22,71.19
12,NuOrder_Direct,SKU00203,Women's Denim,8,370.96,218.4
12,NuOrder_Direct,SKU00214,Women's Denim,4,279.0,163.36
12,NuOrder_Direct,SKU00218,Accessories,2,54.34,34.14
12,NuOrder_Direct,SKU00245,Men's Denim,3,183.09,87.27
12,NuOrder_Direct,SKU00262,Seasonal Capsule,2,100.16,52.02
12,NuOrder_Direct,SKU00272,Loungewear,7,196.91,111.86
12,NuOrder_Direct,SKU00273,Loungewear,1,28.16,16.1
12,NuOrder_Direct,SKU00280,Accessories,2,36.16,22.06
12,NuOrder_Direct,SKU00284,Men's Denim,4,205.84,104.4
12,NuOrder_Direct,SKU00289,Aerie Intimates,4,94.52,57.12
12,NuOrder_Direct,SKU00295,Women's Denim,1,52.69,29.95
12,NuOrder_Direct,SKU00304,Activewear,4,111.32,57.6
12,NuOrder_Direct,SKU00305,Accessories,1,27.92,18.14
12,NuOrder_Direct,SKU00308,Aerie Intimates,5,167.15,103.45
12,NuOrder_Direct,SKU00313,Men's Denim,1,74.79,41.01
12,NuOrder_Direct,SKU00315,Loungewear,2,115.18,61.32
12,NuOrder_Direct,SKU00321,Outerwear,3,214.56,113.67
12,NuOrder_Direct,SKU00323,Activewear,4,103.24,60.24
12,NuOrder_Direct,SKU00324,Aerie Intimates,20,552.8,316.0
12,NuOrder_Direct,SKU00343,Women's Denim,2,83.9,44.06
12,NuOrder_Direct,SKU00345,Graphic Tees,2,44.9,27.74
12,NuOrder_Direct,SKU00352,Loungewear,5,141.2,77.45
12,NuOrder_Direct,SKU00358,Outerwear,3,331.95,151.17
