Fiscal_Year,Week_Index,Season,Partner,Category,Planned_Units,Allocated_Units,Backorder_Units,Actual_Units,Actual_Revenue,Actual_GM_Dollars,Avg_Fill_Rate,Avg_Forecast_Accuracy,Avg_Markdown_Rate,Actual_GM_Pct
2024,2,Spring,NuOrder_Direct,Aerie Intimates,2,2,0,2,39.88,22.78,1.0,1.0,0.023,0.571
2024,2,Spring,NuOrder_Direct,Graphic Tees,25,25,0,23,492.78999999999996,290.8,1.0,0.9583333333333334,0.019666666666666666,0.59
2024,2,Spring,NuOrder_Direct,Loungewear,1,1,0,1,27.05,14.99,1.0,1.0,0.039,0.554
2024,2,Spring,NuOrder_Direct,Men's Denim,4,4,0,4,238.4,115.06,1.0,1.0,0.0175,0.483
2024,2,Spring,NuOrder_Direct,Outerwear,3,3,0,3,319.02,138.24,1.0,1.0,0.039,0.433
2024,2,Spring,NuOrder_Direct,Seasonal Capsule,6,6,0,5,447.2,221.95,1.0,0.833,0.044,0.496
2024,2,Spring,NuOrder_Direct,Women's Denim,1,1,0,1,41.42,21.5,1.0,1.0,0.013,0.519
2024,2,Spring,Zappos,Accessories,4,4,0,4,69.36,41.65,1.0,1.0,0.0265,0.6
2024,2,Spring,Zappos,Activewear,1,1,0,1,26.19,12.89,1.0,1.0,0.034,0.492
2024,2,Spring,Zappos,Loungewear,1,1,0,1,27.72,15.66,1.0,1.0,0.016,0.565
2024,3,Spring,Amazon,Accessories,14,14,0,14,247.12,148.01999999999998,1.0,0.9545,0.0345,0.599
2024,3,Spring,Amazon,Graphic Tees,37,37,0,35,637.73,372.62,1.0,0.8593333333333333,0.02266666666666667,0.584
2024,3,Spring,Amazon,Men's Denim,13,13,0,12,768.84,386.90999999999997,1.0,0.9285,0.028999999999999998,0.503
2024,3,Spring,Amazon,Outerwear,6,6,0,6,640.74,279.18,1.0,1.0,0.035,0.436
2024,3,Spring,Amazon,Seasonal Capsule,2,2,0,2,126.7,63.86,1.0,1.0,0.049,0.504
2024,3,Spring,Amazon,Tops & Blouses,2,2,0,2,54.54,28.36,1.0,1.0,0.039,0.52
2024,3,Spring,Amazon,Women's Denim,7,7,0,7,294.32,146.04999999999998,1.0,1.0,0.029,0.496
2024,3,Spring,Macy's,Accessories,11,11,0,11,192.92000000000002,115.66,1.0,0.9285,0.033,0.6
2024,3,Spring,Macy's,Activewear,3,3,0,3,78.6,38.7,1.0,1.0,0.034,0.492
2024,3,Spring,Macy's,Aerie Intimates,3,3,0,3,59.25,33.6,1.0,1.0,0.033,0.567
2024,3,Spring,Macy's,Graphic Tees,54,54,0,53,1133.0,660.31,1.0,0.945,0.024333333333333332,0.583
2024,3,Spring,Macy's,Loungewear,14,14,0,12,332.64,186.84,1.0,0.923,0.015,0.562
2024,3,Spring,Macy's,Men's Denim,15,15,0,15,902.58,447.87,1.0,0.95,0.0234,0.496
2024,3,Spring,Macy's,Outerwear,11,11,0,11,1273.6599999999999,586.15,1.0,0.9,0.0195,0.46
2024,3,Spring,Macy's,Seasonal Capsule,11,11,0,11,963.12,481.2,1.0,0.9445,0.052000000000000005,0.5
2024,3,Spring,Macy's,Tops & Blouses,7,7,0,7,160.63,87.55,1.0,1.0,0.029666666666666664,0.545
2024,3,Spring,Macy's,Women's Denim,6,6,0,6,242.48000000000002,123.52000000000001,1.0,1.0,0.021,0.509
2024,3,Spring,Nordstrom,Accessories,8,8,0,8,136.84,81.42,1.0,1.0,0.0415,0.595
2024,3,Spring,Nordstrom,Activewear,2,2,0,2,53.26,26.66,1.0,1.0,0.018,0.501
2024,3,Spring,Nordstrom,Graphic Tees,32,32,0,32,693.84,405.32,1.0,1.0,0.025,0.584
2024,3,Spring,Nordstrom,Loungewear,1,1,0,1,27.39,15.33,1.0,1.0,0.027,0.56
2024,3,Spring,Nordstrom,Men's Denim,1,1,0,1,57.05,29.53,1.0,1.0,0.038,0.518
2024,3,Spring,Nordstrom,Outerwear,8,8,0,8,918.65,421.88,1.0,1.0,0.029333333333333333,0.459
2024,3,Spring,Nordstrom,Seasonal Capsule,8,8,0,8,719.04,358.64,1.0,0.889,0.04,0.499
2024,3,Spring,Nordstrom,Tops & Blouses,5,5,0,5,112.93,61.64,1.0,1.0,0.026,0.546
2024,3,Spring,Nordstrom,Women's Denim,5,5,0,5,201.8,102.62,1.0,1.0,0.0215,0.509
2024,3,Spring,NuOrder_Direct,Accessories,2,2,0,2,51.42,31.22,1.0,1.0,0.054,0.607
2024,3,Spring,NuOrder_Direct,Activewear,1,1,0,1,26.65,13.35,1.0,1.0,0.017,0.501
2024,3,Spring,NuOrder_Direct,Aerie Intimates,2,2,0,2,38.86,21.76,1.0,1.0,0.048,0.56
2024,3,Spring,NuOrder_Direct,Graphic Tees,27,27,0,27,569.29,331.76,1.0,0.9434000000000001,0.0298,0.583
2024,3,Spring,NuOrder_Direct,Loungewear,7,7,0,7,194.63,109.67,1.0,0.9285,0.015,0.563
2024,3,Spring,NuOrder_Direct,Men's Denim,6,6,0,6,334.66,158.8,1.0,1.0,0.03166666666666667,0.475
2024,3,Spring,NuOrder_Direct,Outerwear,5,5,0,5,571.39,260.23,1.0,1.0,0.026000000000000002,0.455
2024,3,Spring,NuOrder_Direct,Seasonal Capsule,8,8,0,7,595.5799999999999,293.85999999999996,1.0,0.875,0.0495,0.493
2024,3,Spring,NuOrder_Direct,Tops & Blouses,2,2,0,2,40.6,23.2,1.0,1.0,0.018,0.571
2024,3,Spring,NuOrder_Direct,Women's Denim,2,2,0,2,81.8,41.96,1.0,1.0,0.025,0.513
2024,3,Spring,Zappos,Accessories,6,6,0,5,93.81,56.0,1.0,0.8,0.046,0.597
2024,3,Spring,Zappos,Activewear,1,1,0,1,26.54,13.24,1.0,1.0,0.022,0.499
2024,3,Spring,Zappos,Graphic Tees,5,5,0,5,100.6,57.3,1.0,0.75,0.027,0.57
2024,3,Spring,Zappos,Loungewear,1,1,0,1,27.41,15.35,1.0,1.0,0.027,0.56
2024,3,Spring,Zappos,Tops & Blouses,1,1,0,1,19.85,11.15,1.0,1.0,0.04,0.562
2024,4,Spring,Amazon,Accessories,25,25,0,23,404.89,241.65,1.0,0.8776666666666667,0.035666666666666666,0.597
2024,4,Spring,Amazon,Activewear,3,3,0,3,175.95,100.17,1.0,1.0,0.012,0.569
2024,4,Spring,Amazon,Graphic Tees,25,25,0,25,458.06,269.24,1.0,0.8856666666666667,0.021666666666666667,0.588
2024,4,Spring,Amazon,Men's Denim,17,17,0,17,1061.73,524.2,1.0,0.9722500000000001,0.041,0.494
2024,4,Spring,Amazon,Outerwear,8,8,0,8,841.68,359.6,1.0,0.857,0.049,0.427
2024,4,Spring,Amazon,Seasonal Capsule,2,2,0,2,123.03999999999999,62.85,1.0,1.0,0.051000000000000004,0.511
2024,4,Spring,Amazon,Tops & Blouses,2,2,0,2,55.04,28.86,1.0,1.0,0.03,0.524
2024,4,Spring,Amazon,Women's Denim,6,6,0,6,253.05,124.56,1.0,1.0,0.034999999999999996,0.492
2024,4,Spring,Macy's,Accessories,15,15,0,14,244.13,145.72,1.0,0.9166666666666666,0.034666666666666665,0.597
2024,4,Spring,Macy's,Activewear,5,5,0,5,191.55,101.13,1.0,1.0,0.0435,0.528
2024,4,Spring,Macy's,Aerie Intimates,3,3,0,3,58.32,32.67,1.0,1.0,0.048,0.56
2024,4,Spring,Macy's,Graphic Tees,82,82,0,78,1556.74,899.69,1.0,0.9274285714285714,0.03328571428571429,0.578
2024,4,Spring,Macy's,Loungewear,11,11,0,11,297.22,163.57,1.0,0.9,0.04,0.55
2024,4,Spring,Macy's,Men's Denim,14,14,0,14,840.16,411.71000000000004,1.0,1.0,0.036199999999999996,0.49
2024,4,Spring,Macy's,Outerwear,9,9,0,9,1016.6099999999999,454.54999999999995,1.0,0.9165,0.041999999999999996,0.447
2024,4,Spring,Macy's,Seasonal Capsule,18,18,0,18,1600.1100000000001,801.2,1.0,0.9556666666666667,0.042333333333333334,0.501
2024,4,Spring,Macy's,Tops & Blouses,5,5,0,5,113.84,62.550000000000004,1.0,1.0,0.018333333333333333,0.549
2024,4,Spring,Macy's,Women's Denim,7,7,0,6,241.8,122.69999999999999,1.0,0.875,0.027000000000000003,0.507
2024,4,Spring,Nordstrom,Accessories,10,10,0,10,176.83,106.13,1.0,1.0,0.02766666666666667,0.6
2024,4,Spring,Nordstrom,Activewear,2,2,0,2,52.92,26.32,1.0,1.0,0.024,0.497
2024,4,Spring,Nordstrom,Graphic Tees,44,44,0,44,888.3,516.1800000000001,1.0,0.9636666666666667,0.035166666666666666,0.581
2024,4,Spring,Nordstrom,Loungewear,1,1,0,1,26.95,14.89,1.0,1.0,0.043,0.553
2024,4,Spring,Nordstrom,Men's Denim,1,1,0,1,57.9,30.38,1.0,1.0,0.024,0.525
2024,4,Spring,Nordstrom,Outerwear,8,8,0,8,907.01,410.24,1.0,1.0,0.035666666666666666,0.452
2024,4,Spring,Nordstrom,Seasonal Capsule,10,10,0,10,856.99,422.77000000000004,1.0,0.95,0.034,0.493
2024,4,Spring,Nordstrom,Tops & Blouses,7,7,0,7,202.02,112.18,1.0,1.0,0.034,0.555
2024,4,Spring,Nordstrom,Women's Denim,16,16,0,16,690.8299999999999,381.88000000000005,1.0,0.9723333333333333,0.03266666666666667,0.553
2024,4,Spring,NuOrder_Direct,Accessories,5,5,0,5,104.61,63.260000000000005,1.0,1.0,0.036500000000000005,0.605
2024,4,Spring,NuOrder_Direct,Activewear,1,1,0,1,26.48,13.18,1.0,1.0,0.024,0.498
2024,4,Spring,NuOrder_Direct,Aerie Intimates,2,2,0,2,39.84,22.74,1.0,1.0,0.025,0.571
2024,4,Spring,NuOrder_Direct,Graphic Tees,28,28,0,27,566.6700000000001,332.55,1.0,0.796,0.0252,0.587
2024,4,Spring,NuOrder_Direct,Loungewear,7,7,0,7,190.14,105.18,1.0,1.0,0.028499999999999998,0.553
2024,4,Spring,NuOrder_Direct,Men's Denim,6,6,0,6,334.69,158.83,1.0,1.0,0.03166666666666667,0.475
2024,4,Spring,NuOrder_Direct,Outerwear,5,5,0,5,567.04,255.88,1.0,1.0,0.0325,0.451
2024,4,Spring,NuOrder_Direct,Seasonal Capsule,10,10,0,10,869.56,431.87,1.0,0.9443333333333334,0.053,0.497
2024,4,Spring,NuOrder_Direct,Tops & Blouses,4,4,0,4,114.20000000000002,65.3,1.0,1.0,0.025500000000000002,0.572
2024,4,Spring,NuOrder_Direct,Women's Denim,10,10,0,10,442.76,250.36,1.0,0.9285,0.03,0.565
2024,4,Spring,Zappos,Accessories,8,8,0,7,129.44,77.53,1.0,0.9166666666666666,0.03733333333333333,0.599
2024,4,Spring,Zappos,Activewear,2,2,0,2,84.19,45.629999999999995,1.0,1.0,0.0295,0.542
2024,4,Spring,Zappos,Graphic Tees,4,4,0,4,81.48,46.84,1.0,0.667,0.015,0.575
2024,4,Spring,Zappos,Loungewear,1,1,0,1,27.61,15.55,1.0,1.0,0.02,0.563
2024,4,Spring,Zappos,Seasonal Capsule,2,2,0,2,185.58,94.66,1.0,1.0,0.033,0.51
2024,4,Spring,Zappos,Tops & Blouses,3,3,0,3,92.75,52.55,1.0,1.0,0.0395,0.567
2024,4,Spring,Zappos,Women's Denim,6,6,0,6,274.2,159.78,1.0,1.0,0.015,0.583
2024,5,Spring,Amazon,Accessories,25,25,0,24,423.39,253.1,1.0,0.9443333333333334,0.033999999999999996,0.598
2024,5,Spring,Amazon,Activewear,7,7,0,7,293.96999999999997,161.26999999999998,1.0,1.0,0.03,0.549
2024,5,Spring,Amazon,Aerie Intimates,11,11,0,11,353.76,213.62,1.0,1.0,0.038,0.604
2024,5,Spring,Amazon,Graphic Tees,47,47,0,47,962.1299999999999,577.69,1.0,0.8824,0.030199999999999998,0.6
2024,5,Spring,Amazon,Men's Denim,17,17,0,17,1074.46,536.93,1.0,0.96425,0.0305,0.5
2024,5,Spring,Amazon,Outerwear,9,9,0,9,956.34,414.0,1.0,0.9,0.04,0.433
2024,5,Spring,Amazon,Seasonal Capsule,2,2,0,2,121.22999999999999,61.040000000000006,1.0,1.0,0.0645,0.504
2024,5,Spring,Amazon,Tops & Blouses,5,5,0,5,202.67000000000002,105.42,1.0,1.0,0.0215,0.52
2024,5,Spring,Amazon,Women's Denim,7,7,0,7,292.88,144.61,1.0,1.0,0.040499999999999994,0.494
2024,5,Spring,Macy's,Accessories,24,24,0,23,443.83000000000004,271.96999999999997,1.0,0.95825,0.03375,0.613
2024,5,Spring,Macy's,Activewear,4,4,0,4,166.74,89.62,1.0,1.0,0.037000000000000005,0.537
2024,5,Spring,Macy's,Aerie Intimates,11,11,0,11,311.67,166.9,1.0,1.0,0.026500000000000003,0.536
2024,5,Spring,Macy's,Graphic Tees,122,122,0,116,2299.25,1347.78,1.0,0.9126,0.029000000000000005,0.586
2024,5,Spring,Macy's,Loungewear,10,10,0,10,270.6,149.1,1.0,1.0,0.038,0.551
2024,5,Spring,Macy's,Men's Denim,20,20,0,20,1237.3400000000001,617.09,1.0,1.0,0.03366666666666667,0.499
2024,5,Spring,Macy's,Outerwear,11,11,0,11,1236.9099999999999,549.4,1.0,0.875,0.048,0.444
2024,5,Spring,Macy's,Seasonal Capsule,14,14,0,13,1121.6200000000001,548.37,1.0,0.9393333333333334,0.064,0.489
2024,5,Spring,Macy's,Tops & Blouses,7,7,0,7,157.93,84.85000000000001,1.0,1.0,0.042,0.537
2024,5,Spring,Macy's,Women's Denim,7,7,0,7,280.85,141.97,1.0,1.0,0.03,0.506
2024,5,Spring,Nordstrom,Accessories,16,16,0,16,303.51,184.63,1.0,1.0,0.03949999999999999,0.608
2024,5,Spring,Nordstrom,Activewear,4,4,0,4,113.03999999999999,57.980000000000004,1.0,1.0,0.0335,0.513
2024,5,Spring,Nordstrom,Aerie Intimates,7,7,0,7,225.68,136.5,1.0,0.833,0.036,0.605
2024,5,Spring,Nordstrom,Graphic Tees,48,48,0,48,911.26,525.77,1.0,0.94075,0.035125,0.577
2024,5,Spring,Nordstrom,Loungewear,1,1,0,1,27.19,15.13,1.0,1.0,0.035,0.556
2024,5,Spring,Nordstrom,Men's Denim,1,1,0,1,57.06,29.54,1.0,1.0,0.038,0.518
2024,5,Spring,Nordstrom,Outerwear,8,8,0,7,795.47,358.96000000000004,1.0,0.9166666666666666,0.044000000000000004,0.451
2024,5,Spring,Nordstrom,Seasonal Capsule,10,10,0,9,759.85,370.68,1.0,1.0,0.053000000000000005,0.488
2024,5,Spring,Nordstrom,Tops & Blouses,7,7,0,7,202.02,112.18,1.0,1.0,0.0405,0.555
2024,5,Spring,Nordstrom,Women's Denim,15,15,0,15,646.22,356.34000000000003,1.0,1.0,0.03833333333333333,0.551
2024,5,Spring,NuOrder_Direct,Accessories,9,9,0,9,192.56,118.11000000000001,1.0,0.9443333333333334,0.04666666666666667,0.613
2024,5,Spring,NuOrder_Direct,Activewear,1,1,0,1,25.56,12.26,1.0,1.0,0.058,0.48
2024,5,Spring,NuOrder_Direct,Aerie Intimates,6,6,0,5,150.21,90.7,1.0,0.9,0.033,0.604
2024,5,Spring,NuOrder_Direct,Graphic Tees,41,41,0,39,756.3199999999999,438.03,1.0,0.9394285714285715,0.03514285714285714,0.579
2024,5,Spring,NuOrder_Direct,Loungewear,8,8,0,7,188.25,103.28999999999999,1.0,1.0,0.0375,0.549
2024,5,Spring,NuOrder_Direct,Men's Denim,6,6,0,6,347.88,170.18,1.0,1.0,0.028499999999999998,0.489
2024,5,Spring,NuOrder_Direct,Outerwear,6,6,0,6,686.7,310.35,1.0,1.0,0.038,0.452
2024,5,Spring,NuOrder_Direct,Seasonal Capsule,9,9,0,9,769.27,376.63,1.0,1.0,0.06266666666666666,0.49
2024,5,Spring,NuOrder_Direct,Tops & Blouses,5,5,0,5,161.82,89.23,1.0,1.0,0.028333333333333332,0.551
2024,5,Spring,NuOrder_Direct,Women's Denim,11,11,0,11,481.45,269.98,1.0,0.95,0.038,0.561
2024,5,Spring,Zappos,Accessories,11,11,0,11,210.82,128.85999999999999,1.0,1.0,0.0415,0.611
2024,5,Spring,Zappos,Activewear,2,2,0,2,83.7,45.14,1.0,1.0,0.034,0.539
2024,5,Spring,Zappos,Graphic Tees,5,5,0,5,98.75,55.45,1.0,1.0,0.045,0.562
2024,5,Spring,Zappos,Loungewear,1,1,0,1,27.16,15.1,1.0,1.0,0.035,0.556
2024,5,Spring,Zappos,Seasonal Capsule,1,1,0,1,92.2,46.74,1.0,1.0,0.039,0.507
2024,5,Spring,Zappos,Tops & Blouses,4,4,0,4,113.72,64.82,1.0,1.0,0.028999999999999998,0.57
2024,5,Spring,Zappos,Women's Denim,6,6,0,6,271.8,157.38,1.0,0.857,0.023,0.579
2024,6,Spring,Amazon,Accessories,25,25,0,24,414.44,245.33,1.0,0.8333333333333334,0.04833333333333334,0.592
2024,6,Spring,Amazon,Activewear,5,5,0,5,204.05,110.84,1.0,1.0,0.039999999999999994,0.543
2024,6,Spring,Amazon,Aerie Intimates,14,14,0,12,393.74,239.31,1.0,1.0,0.0165,0.608
2024,6,Spring,Amazon,Graphic Tees,47,47,0,45,910.3,543.1,1.0,0.933,0.0332,0.597
2024,6,Spring,Amazon,Men's Denim,17,17,0,17,1057.12,519.59,1.0,0.96425,0.04425,0.492
2024,6,Spring,Amazon,Outerwear,7,7,0,7,741.93,320.11,1.0,1.0,0.042,0.431
2024,6,Spring,Amazon,Seasonal Capsule,2,2,0,2,121.42,61.230000000000004,1.0,1.0,0.0635,0.504
2024,6,Spring,Amazon,Tops & Blouses,5,5,0,5,198.63,101.38,1.0,1.0,0.0395,0.51
2024,6,Spring,Amazon,Women's Denim,22,22,0,21,1071.6200000000001,545.21,1.0,0.9722500000000001,0.0355,0.509
2024,6,Spring,Macy's,Accessories,26,26,0,26,494.22999999999996,300.44,1.0,0.97925,0.045,0.608
2024,6,Spring,Macy's,Activewear,4,4,0,4,167.18,90.06,1.0,1.0,0.0345,0.539
2024,6,Spring,Macy's,Aerie Intimates,9,9,0,8,211.46,111.36,1.0,0.857,0.047,0.527
2024,6,Spring,Macy's,Graphic Tees,131,131,0,120,2493.46,1443.08,1.0,0.9180833333333333,0.04,0.579
2024,6,Spring,Macy's,Loungewear,12,12,0,12,327.6,181.8,1.0,0.857,0.029,0.555
2024,6,Spring,Macy's,Men's Denim,17,17,0,17,1054.77,524.98,1.0,1.0,0.03816666666666667,0.498
2024,6,Spring,Macy's,Outerwear,18,18,0,17,1667.6299999999999,778.3399999999999,1.0,0.9333333333333332,0.033,0.467
2024,6,Spring,Macy's,Seasonal Capsule,14,14,0,13,1094.04,520.79,1.0,0.9393333333333334,0.07933333333333334,0.476
2024,6,Spring,Macy's,Tops & Blouses,14,14,0,13,272.96999999999997,148.4,1.0,0.9722500000000001,0.03325,0.544
2024,6,Spring,Macy's,Women's Denim,15,15,0,15,736.75,378.04,1.0,0.95,0.02675,0.513
2024,6,Spring,Nordstrom,Accessories,17,17,0,16,311.38,190.34,1.0,0.90825,0.04325,0.611
2024,6,Spring,Nordstrom,Activewear,4,4,0,4,111.44,56.38,1.0,1.0,0.047,0.506
2024,6,Spring,Nordstrom,Aerie Intimates,6,6,0,6,194.7,118.26,1.0,1.0,0.029,0.607
2024,6,Spring,Nordstrom,Graphic Tees,64,64,0,62,1144.5,658.94,1.0,0.9722222222222222,0.037000000000000005,0.576
2024,6,Spring,Nordstrom,Loungewear,1,1,0,1,26.65,14.59,1.0,1.0,0.054,0.547
2024,6,Spring,Nordstrom,Men's Denim,1,1,0,1,56.8,29.28,1.0,1.0,0.042,0.515
2024,6,Spring,Nordstrom,Outerwear,13,13,0,13,1256.19,591.27,1.0,1.0,0.035,0.471
2024,6,Spring,Nordstrom,Seasonal Capsule,9,9,0,8,695.2,334.8,1.0,0.8,0.071,0.482
2024,6,Spring,Nordstrom,Tops & Blouses,6,6,0,6,163.64,89.55,1.0,1.0,0.042,0.547
2024,6,Spring,Nordstrom,Women's Denim,23,23,0,21,989.6800000000001,529.8000000000001,1.0,0.95,0.0366,0.535
2024,6,Spring,NuOrder_Direct,Accessories,10,10,0,10,217.36,134.88,1.0,0.9523333333333334,0.038,0.621
2024,6,Spring,NuOrder_Direct,Activewear,1,1,0,1,25.64,12.34,1.0,1.0,0.055,0.481
2024,6,Spring,NuOrder_Direct,Aerie Intimates,7,7,0,7,200.24,119.44,1.0,1.0,0.041,0.596
2024,6,Spring,NuOrder_Direct,Graphic Tees,50,50,0,46,983.99,572.33,1.0,0.937625,0.02975,0.582
2024,6,Spring,NuOrder_Direct,Loungewear,7,7,0,7,189.92,104.96000000000001,1.0,0.9285,0.0335,0.553
2024,6,Spring,NuOrder_Direct,Men's Denim,7,7,0,7,407.56,197.92,1.0,1.0,0.03025,0.486
2024,6,Spring,NuOrder_Direct,Outerwear,9,9,0,9,833.34,387.65999999999997,1.0,1.0,0.043333333333333335,0.465
2024,6,Spring,NuOrder_Direct,Seasonal Capsule,9,9,0,9,754.3399999999999,361.7,1.0,0.9333333333333332,0.06866666666666667,0.479
2024,6,Spring,NuOrder_Direct,Tops & Blouses,10,10,0,10,263.76,145.37,1.0,0.95825,0.03,0.551
2024,6,Spring,NuOrder_Direct,Women's Denim,14,14,0,13,620.75,336.07,1.0,0.9630000000000001,0.03333333333333333,0.541
2024,6,Spring,Zappos,Accessories,11,11,0,10,190.29,116.36,1.0,0.95,0.036250000000000004,0.611
2024,6,Spring,Zappos,Activewear,2,2,0,2,83.77,45.21,1.0,1.0,0.036500000000000005,0.54
2024,6,Spring,Zappos,Graphic Tees,4,4,0,4,78.84,44.2,1.0,1.0,0.047,0.561
2024,6,Spring,Zappos,Loungewear,1,1,0,1,26.74,14.68,1.0,1.0,0.05,0.549
2024,6,Spring,Zappos,Outerwear,3,3,0,3,208.92,108.03,1.0,1.0,0.026,0.517
2024,6,Spring,Zappos,Seasonal Capsule,2,2,0,2,182.98,92.06,1.0,1.0,0.047,0.503
2024,6,Spring,Zappos,Tops & Blouses,3,3,0,3,92.22,52.019999999999996,1.0,1.0,0.041499999999999995,0.564
